hourofday,HeroinCrimes,WeedCrimes,NumNeedles,angle
0,161,35,36,1
1,110,39,16,1
2,63,18,10,1
3,39,9,5,1
4,46,15,10,1
5,19,4,36,1
6,58,10,201,1
7,40,10,647,1
8,104,41,1053,1
9,99,44,969,1
10,169,70,886,1
11,210,71,829,1
12,245,89,759,1
13,286,128,705,1
14,334,105,722,1
15,322,120,662,1
16,453,172,688,1
17,630,263,713,1
18,650,232,579,1
19,464,206,375,1
20,324,94,223,1
21,165,49,137,1
22,107,38,114,1
23,71,18,55,1
